CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,location
3501005,South Glengarry,1,1425,"45.2561615,-74.5953852",2,1,0,1,1,950,1,14211,"45.14626646, -74.50391692"
3501011,South Stormont,2,2340,"45.030398,-74.890559",2,2,0,0,0,1950,1,13903,"45.02928432, -74.89304624"
3501012,Cornwall,2,3000,"45.0573855,-74.7703395",4,2,0,0,0,2300,1,49442,"45.01701602, -74.73122098"
3501020,South Dundas,2,2200,"44.950217,-75.2833376",1,1,0,0,0,1550,1,11218,"44.89855949, -75.18473483"
3501030,North Dundas,1,1400,"45.1009288,-75.2402462",2,1,0,0,0,730,1,12332,"45.08860351, -75.3555682"
3501050,North Glengarry,1,1450,"45.3139668,-74.6352838",2,1,0,0,0,1266,1,10537,"45.31112498, -74.63167517"
3502008,Hawkesbury,1,1000,"45.6105461,-74.5981073",2,1,0,1,1,800,1,10632,"45.60991163, -74.60804929"
3502010,Champlain,1,975,"45.6192681,-74.6928116",1,1,0,1,1,700,1,9044,"45.62972163, -74.67048831"
3502023,Alfred and Plantagenet,2,2645,"45.5712706,-75.1164865",3.5,3,0,0,0,1412,1,10640,"45.55953881, -74.87851758"
3502025,The Nation / La Nation,1,1300,"45.3843513,-74.9057852",2,1,0,0,1,800,1,14292,"45.29369315, -75.22846107"
3502036,Clarence-Rockland,1,2000,"45.5730024,-75.2070987",2,1,1,1,1,1000,2,27561,"45.43608988, -75.15507656"
3502044,Casselman,1,1300,"45.3157884,-75.0897204",2,1,0,0,0,725,1,3920,"45.31639206, -75.09025213"
3502048,Russell,5,3000,"45.26747902,-75.35624628",4,3,0,0,0,2300,1,20962,"45.27432915, -75.26511528"
3506008,Ottawa,5,730,"45.33372977,-75.74589822",4,2,1,1,1,400,2,1071868,"45.43172166, -75.66769193"
3507008,Prescott,1,1400,"44.709294,-75.518972",2,1,1,1,1,550,1,4647,"44.70554094, -75.52050712"
3507014,Elizabethtown-Kitley,2,2250,"44.6749919,-75.7333365",3.5,1.5,1,1,1,2000,1,9871,"44.60350062, -75.66223536"
3507015,Brockville,4,1395,"44.6099264,-75.7175993",2,1,1,1,1,750,1,21905,"44.59188291, -75.68349326"
3507021,Leeds and the Thousand Islands,2,1850,"44.3719057,-76.01635",2,1,0,0,0,850,1,9635,"44.33732175, -76.12701389"
3507024,Gananoque,2,1680,"44.3367602,-76.1691133",4,1,0,0,1,1136.65079,1,5524,"44.33633895, -76.1592067"
3507040,Rideau Lakes,2,3000,"44.7281434,-76.1579992",4,2,0,0,0,2500,1,11622,"44.69431581, -76.19447194"
3507052,Merrickville-Wolford,1,1650,"44.9125467,-75.8359387",1,1,0,0,1,1136.65079,1,3378,"44.90918586, -75.83453904"
3507065,North Grenville,5,2600,"45.0305716,-75.6392742",3,2.5,0,0,0,1800,1,18666,"45.01874519, -75.65323739"
3509004,Smiths Falls,1,1800,"44.9074632,-76.0188706",3,1,0,0,1,1200,1,9376,"44.88786035, -76.0208378"
3509015,Tay Valley,2,1150,"44.8809198,-76.2585282",2,2.5,1,1,1,2400,2,5845,"44.90398014, -76.27207578"
3509021,Perth,1,2050,"44.9158324,-76.2649881",1,1,1,1,1,659,1,6824,"44.89897964, -76.25803618"
3509024,Beckwith,2,2450,"45.0940335,-76.1499828",3.5,2,0,0,1,1200,1,9172,"45.12721059, -76.13043566"
3509028,Carleton Place,1,1250,"45.147772,-76.1424001",1,1,1,1,1,500,1,12565,"45.140984, -76.136681"
3509030,Mississippi Mills,1,1525,"45.2363019,-76.1848117",2,1,0,1,1,1136.65079,1,15555,"45.2188403, -76.19075728"
3510010,Kingston,6,1950,"44.320713,-76.478758",1.5,1,0,1,1,750,1,138204,"44.22905481, -76.4840666"
3510020,South Frontenac,2,2800,"44.7221086,-76.5660622",4,2,0,0,0,1440,1,20582,"44.48989086, -76.48143042"
3510035,Central Frontenac,2,800,"44.7694959,-76.689392",0.5,1,1,1,1,325,1,4683,"44.59712177, -76.68879979"
3511005,Loyalist,2,1800,"44.3084614,-76.8468758",2,1,0,0,0,1000,1,18950,"44.21822341, -76.65431965"
3511015,Greater Napanee,2,1800,"44.2498442,-76.9526597",2.5,2,1,1,1,900,1,16926,"44.2012069, -77.0375329"
3511035,Addington Highlands,2,1800,"44.7345898,-77.1245957",2.5,1,0,0,1,800,2,2304,"44.73835937, -77.16101956"
3512005,Belleville,2,2400,"44.1970295,-77.3915295",3,2,0,0,0,1136.65079,1,57363,"44.168469, -77.353038"
3512015,Quinte West,6,1700,"44.2233056,-77.6192447",3,1,0,0,0,1100,1,47464,"44.10639945, -77.56149694"
3512020,Stirling-Rawdon,1,925,"44.3021721,-77.55081623",1,1,0,1,1,1136.65079,1,5284,"44.30226088, -77.54846075"
3512026,Centre Hastings,2,3500,"44.5068726,-77.4726289",5,4,0,0,0,2600,1,4911,"44.50567572, -77.47198554"
3512030,Tweed,6,1360,"44.7175773,-77.4338702",1.5,1,1,1,1,800,1,6393,"44.47448562, -77.31669239"
